storm_id,timestamp,latitude,longitude,wind_kt,pressure_hpa,category
AMPHAN,2020-05-16 00:00:00+00:00,10.4,87.0,25.0,1000.0,Depression
AMPHAN,2020-05-16 03:00:00+00:00,10.7,86.5,25.0,1000.0,Depression
AMPHAN,2020-05-16 06:00:00+00:00,10.9,86.3,25.0,1000.0,Depression
AMPHAN,2020-05-16 09:00:00+00:00,10.9,86.3,30.0,998.0,Deep Depression
AMPHAN,2020-05-16 12:00:00+00:00,10.9,86.3,35.0,996.0,Cyclonic Storm
AMPHAN,2020-05-16 15:00:00+00:00,11.0,86.2,40.0,995.0,Cyclonic Storm
AMPHAN,2020-05-16 18:00:00+00:00,11.1,86.1,40.0,995.0,Cyclonic Storm
AMPHAN,2020-05-16 21:00:00+00:00,11.3,86.1,45.0,994.0,Cyclonic Storm
AMPHAN,2020-05-17 00:00:00+00:00,11.4,86.0,45.0,993.0,Cyclonic Storm
AMPHAN,2020-05-17 03:00:00+00:00,11.4,86.0,50.0,990.0,Severe Cyclonic Storm
AMPHAN,2020-05-17 06:00:00+00:00,11.5,86.0,55.0,988.0,Severe Cyclonic Storm
AMPHAN,2020-05-17 09:00:00+00:00,11.7,86.0,65.0,980.0,Very Severe Cyclonic Storm
AMPHAN,2020-05-17 12:00:00+00:00,12.0,86.0,70.0,978.0,Very Severe Cyclonic Storm
AMPHAN,2020-05-17 15:00:00+00:00,12.8,86.2,75.0,972.0,Very Severe Cyclonic Storm
AMPHAN,2020-05-17 18:00:00+00:00,12.5,86.1,80.0,970.0,Very Severe Cyclonic Storm
AMPHAN,2020-05-17 21:00:00+00:00,12.9,86.4,90.0,962.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-18 00:00:00+00:00,13.2,86.3,100.0,952.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-18 03:00:00+00:00,13.3,86.2,115.0,936.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-18 06:00:00+00:00,13.4,86.2,120.0,930.0,Super Cyclonic Storm
AMPHAN,2020-05-18 09:00:00+00:00,13.7,86.2,120.0,930.0,Super Cyclonic Storm
AMPHAN,2020-05-18 12:00:00+00:00,14.0,86.3,125.0,926.0,Super Cyclonic Storm
AMPHAN,2020-05-18 15:00:00+00:00,14.5,86.4,125.0,926.0,Super Cyclonic Storm
AMPHAN,2020-05-18 18:00:00+00:00,14.9,86.5,130.0,920.0,Super Cyclonic Storm
AMPHAN,2020-05-18 21:00:00+00:00,15.2,86.6,130.0,920.0,Super Cyclonic Storm
AMPHAN,2020-05-19 00:00:00+00:00,15.6,86.7,125.0,926.0,Super Cyclonic Storm
AMPHAN,2020-05-19 03:00:00+00:00,16.0,86.8,120.0,930.0,Super Cyclonic Storm
AMPHAN,2020-05-19 06:00:00+00:00,16.5,86.9,115.0,936.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-19 09:00:00+00:00,17.0,86.9,110.0,942.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-19 12:00:00+00:00,17.4,87.0,105.0,946.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-19 15:00:00+00:00,18.1,87.1,100.0,948.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-19 18:00:00+00:00,18.4,87.2,100.0,948.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-19 21:00:00+00:00,18.7,87.2,100.0,948.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-20 00:00:00+00:00,19.1,87.5,95.0,952.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-20 03:00:00+00:00,19.8,87.7,95.0,954.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-20 06:00:00+00:00,20.6,88.0,90.0,956.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-20 09:00:00+00:00,21.4,88.1,90.0,960.0,Extremely Severe Cyclonic Storm
AMPHAN,2020-05-20 12:00:00+00:00,21.9,88.4,85.0,957.0,Very Severe Cyclonic Storm
AMPHAN,2020-05-20 15:00:00+00:00,22.7,88.6,65.0,968.0,Very Severe Cyclonic Storm
AMPHAN,2020-05-20 18:00:00+00:00,23.3,89.0,50.0,978.0,Severe Cyclonic Storm
AMPHAN,2020-05-20 21:00:00+00:00,24.2,89.0,45.0,986.0,Cyclonic Storm
AMPHAN,2020-05-21 00:00:00+00:00,24.2,89.3,40.0,988.0,Cyclonic Storm
AMPHAN,2020-05-21 03:00:00+00:00,24.7,89.5,35.0,990.0,Cyclonic Storm
AMPHAN,2020-05-21 06:00:00+00:00,25.0,89.6,30.0,992.0,Deep Depression
AMPHAN,2020-05-21 12:00:00+00:00,25.4,89.6,20.0,995.0,Depression
