cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
AMPHAN,2020-05-17T15:00:00+00:00,2020-05-17T15:00:00+00:00,0.0,12.8,86.2,75.0,972.0,Very Severe Cyclonic Storm,1010,1105,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\17MAY\3DIMG_17MAY2020_1500_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-17T18:00:00+00:00,2020-05-17T18:00:00+00:00,0.0,12.5,86.1,80.0,970.0,Very Severe Cyclonic Storm,1018,1103,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\17MAY\3DIMG_17MAY2020_1800_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-17T21:00:00+00:00,2020-05-17T21:00:00+00:00,0.0,12.9,86.4,90.0,962.0,Extremely Severe Cyclonic Storm,1008,1111,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\17MAY\3DIMG_17MAY2020_2100_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-18T00:00:00+00:00,2020-05-17T23:30:00+00:00,0.5,13.2,86.3,100.0,952.0,Extremely Severe Cyclonic Storm,1000,1108,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\17MAY\3DIMG_17MAY2020_2330_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-18T15:00:00+00:00,2020-05-18T15:00:00+00:00,0.0,14.5,86.4,125.0,926.0,Super Cyclonic Storm,964,1111,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\18MAY\3DIMG_18MAY2020_1500_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-18T18:00:00+00:00,2020-05-18T18:00:00+00:00,0.0,14.9,86.5,130.0,920.0,Super Cyclonic Storm,953,1113,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\18MAY\3DIMG_18MAY2020_1800_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-18T21:00:00+00:00,2020-05-18T21:00:00+00:00,0.0,15.2,86.6,130.0,920.0,Super Cyclonic Storm,945,1116,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\18MAY\3DIMG_18MAY2020_2100_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-19T00:00:00+00:00,2020-05-18T23:30:00+00:00,0.5,15.6,86.7,125.0,926.0,Super Cyclonic Storm,934,1119,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\18MAY\3DIMG_18MAY2020_2330_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-19T15:00:00+00:00,2020-05-19T15:00:00+00:00,0.0,18.1,87.1,100.0,948.0,Extremely Severe Cyclonic Storm,865,1129,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\19MAY\3DIMG_19MAY2020_1500_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-19T18:00:00+00:00,2020-05-19T18:00:00+00:00,0.0,18.4,87.2,100.0,948.0,Extremely Severe Cyclonic Storm,857,1132,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\19MAY\3DIMG_19MAY2020_1800_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-19T21:00:00+00:00,2020-05-19T21:00:00+00:00,0.0,18.7,87.2,100.0,948.0,Extremely Severe Cyclonic Storm,849,1132,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\19MAY\3DIMG_19MAY2020_2100_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-20T00:00:00+00:00,2020-05-19T23:30:00+00:00,0.5,19.1,87.5,95.0,952.0,Extremely Severe Cyclonic Storm,838,1140,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\19MAY\3DIMG_19MAY2020_2330_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-20T12:00:00+00:00,2020-05-20T13:00:00+00:00,1.0,21.9,88.4,85.0,957.0,Very Severe Cyclonic Storm,759,1164,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\20MAY\3DIMG_20MAY2020_1300_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-20T15:00:00+00:00,2020-05-20T15:00:00+00:00,0.0,22.7,88.6,65.0,968.0,Very Severe Cyclonic Storm,736,1169,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\20MAY\3DIMG_20MAY2020_1500_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-20T18:00:00+00:00,2020-05-20T18:00:00+00:00,0.0,23.3,89.0,50.0,978.0,Severe Cyclonic Storm,719,1180,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\20MAY\3DIMG_20MAY2020_1800_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-20T21:00:00+00:00,2020-05-20T21:00:00+00:00,0.0,24.2,89.0,45.0,986.0,Cyclonic Storm,693,1180,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\20MAY\3DIMG_20MAY2020_2100_L1C_ASIA_MER_V01R00.h5
AMPHAN,2020-05-21T00:00:00+00:00,2020-05-20T23:30:00+00:00,0.5,24.2,89.3,40.0,988.0,Cyclonic Storm,693,1188,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2020\20MAY\3DIMG_20MAY2020_2330_L1C_ASIA_MER_V01R00.h5
