cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
ASANI,2022-05-08T12:00:00+00:00,2022-05-08T12:00:00+00:00,0.0,12.3,88.2,50.0,986.0,Severe Cyclonic Storm,1024,1158,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\08MAY\3DIMG_08MAY2022_1200_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-08T15:00:00+00:00,2022-05-08T15:00:00+00:00,0.0,12.7,87.8,50.0,986.0,Severe Cyclonic Storm,1013,1148,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\08MAY\3DIMG_08MAY2022_1500_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-08T18:00:00+00:00,2022-05-08T17:00:00+00:00,1.0,13.1,87.5,55.0,984.0,Severe Cyclonic Storm,1002,1140,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\08MAY\3DIMG_08MAY2022_1700_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-08T21:00:00+00:00,2022-05-08T21:00:00+00:00,0.0,13.5,87.1,55.0,984.0,Severe Cyclonic Storm,991,1129,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\08MAY\3DIMG_08MAY2022_2100_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-09T00:00:00+00:00,2022-05-08T23:30:00+00:00,0.5,13.9,86.8,55.0,983.0,Severe Cyclonic Storm,981,1121,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\08MAY\3DIMG_08MAY2022_2330_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-09T12:00:00+00:00,2022-05-09T12:30:00+00:00,0.5,14.9,85.8,55.0,982.0,Severe Cyclonic Storm,953,1095,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\09MAY\3DIMG_09MAY2022_1230_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-09T15:00:00+00:00,2022-05-09T15:00:00+00:00,0.0,15.0,85.5,55.0,982.0,Severe Cyclonic Storm,951,1087,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\09MAY\3DIMG_09MAY2022_1500_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-09T18:00:00+00:00,2022-05-09T17:00:00+00:00,1.0,15.1,85.2,55.0,982.0,Severe Cyclonic Storm,948,1079,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\09MAY\3DIMG_09MAY2022_1700_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-09T21:00:00+00:00,2022-05-09T21:00:00+00:00,0.0,15.2,84.9,55.0,982.0,Severe Cyclonic Storm,945,1071,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\09MAY\3DIMG_09MAY2022_2100_L1C_ASIA_MER_V01R00.h5
ASANI,2022-05-10T00:00:00+00:00,2022-05-09T23:30:00+00:00,0.5,15.3,84.6,55.0,982.0,Severe Cyclonic Storm,942,1063,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2022\09MAY\3DIMG_09MAY2022_2330_L1C_ASIA_MER_V01R00.h5
