cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
BIPARJOY,2023-06-07T15:00:00+00:00,2023-06-07T15:00:00+00:00,0.0,13.4,66.2,65.0,983.0,Very Severe Cyclonic Storm,994,575,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\07JUN\3DIMG_07JUN2023_1500_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-09T00:00:00+00:00,2023-06-08T23:30:00+00:00,0.5,14.7,66.2,75.0,978.0,Very Severe Cyclonic Storm,959,575,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\08JUN\3DIMG_08JUN2023_2330_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-09T15:00:00+00:00,2023-06-09T15:00:00+00:00,0.0,15.7,67.3,65.0,982.0,Very Severe Cyclonic Storm,932,604,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\09JUN\3DIMG_09JUN2023_1500_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-09T18:00:00+00:00,2023-06-09T18:00:00+00:00,0.0,16.0,67.4,70.0,978.0,Very Severe Cyclonic Storm,923,607,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\09JUN\3DIMG_09JUN2023_1800_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-09T21:00:00+00:00,2023-06-09T21:00:00+00:00,0.0,16.3,67.4,70.0,976.0,Very Severe Cyclonic Storm,915,607,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\09JUN\3DIMG_09JUN2023_2100_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-10T00:00:00+00:00,2023-06-09T23:30:00+00:00,0.5,16.5,67.4,75.0,974.0,Very Severe Cyclonic Storm,910,607,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\09JUN\3DIMG_09JUN2023_2330_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-10T15:00:00+00:00,2023-06-10T15:00:00+00:00,0.0,17.3,67.3,80.0,964.0,Very Severe Cyclonic Storm,888,604,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\10JUN\3DIMG_10JUN2023_1500_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-10T18:00:00+00:00,2023-06-10T18:00:00+00:00,0.0,17.4,67.3,85.0,962.0,Very Severe Cyclonic Storm,885,604,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\10JUN\3DIMG_10JUN2023_1800_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-10T21:00:00+00:00,2023-06-10T21:00:00+00:00,0.0,17.6,67.3,85.0,962.0,Very Severe Cyclonic Storm,879,604,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\10JUN\3DIMG_10JUN2023_2100_L1C_ASIA_MER_V01R00.h5
BIPARJOY,2023-06-11T00:00:00+00:00,2023-06-10T23:30:00+00:00,0.5,17.9,67.4,90.0,960.0,Extremely Severe Cyclonic Storm,871,607,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\10JUN\3DIMG_10JUN2023_2330_L1C_ASIA_MER_V01R00.h5
