storm_id,timestamp,latitude,longitude,wind_kt,pressure_hpa,category
BULBUL,2019-11-05T00:00:00+00:00,13.1,91.5,20.0,1004.0,Depression
BULBUL,2019-11-05T03:00:00+00:00,13.1,91.0,25.0,1003.0,Depression
BULBUL,2019-11-05T06:00:00+00:00,13.1,90.7,25.0,1003.0,Depression
BULBUL,2019-11-05T12:00:00+00:00,13.2,90.1,25.0,1003.0,Depression
BULBUL,2019-11-05T18:00:00+00:00,13.3,89.8,25.0,1002.0,Depression
BULBUL,2019-11-06T00:00:00+00:00,13.4,89.7,30.0,1001.0,Deep Depression
BULBUL,2019-11-06T03:00:00+00:00,13.4,89.6,30.0,1001.0,Deep Depression
BULBUL,2019-11-06T06:00:00+00:00,13.4,89.4,30.0,1001.0,Deep Depression
BULBUL,2019-11-06T12:00:00+00:00,13.5,89.3,30.0,1000.0,Deep Depression
BULBUL,2019-11-06T18:00:00+00:00,13.8,89.3,35.0,998.0,Cyclonic Storm
BULBUL,2019-11-07T00:00:00+00:00,14.2,89.3,35.0,998.0,Cyclonic Storm
BULBUL,2019-11-07T03:00:00+00:00,14.7,89.3,35.0,998.0,Cyclonic Storm
BULBUL,2019-11-07T06:00:00+00:00,15.3,88.7,40.0,996.0,Cyclonic Storm
BULBUL,2019-11-07T09:00:00+00:00,15.5,88.4,45.0,995.0,Cyclonic Storm
BULBUL,2019-11-07T12:00:00+00:00,15.9,88.0,45.0,994.0,Cyclonic Storm
BULBUL,2019-11-07T15:00:00+00:00,16.2,87.9,50.0,992.0,Severe Cyclonic Storm
BULBUL,2019-11-07T18:00:00+00:00,16.4,87.8,55.0,989.0,Severe Cyclonic Storm
BULBUL,2019-11-07T21:00:00+00:00,16.6,87.7,60.0,986.0,Severe Cyclonic Storm
BULBUL,2019-11-08T00:00:00+00:00,16.9,87.6,65.0,983.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T03:00:00+00:00,17.2,87.6,65.0,982.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T06:00:00+00:00,17.6,87.6,70.0,980.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T09:00:00+00:00,18.1,87.6,70.0,980.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T12:00:00+00:00,18.5,87.6,75.0,976.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T15:00:00+00:00,19.2,87.7,75.0,976.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T18:00:00+00:00,19.3,87.6,75.0,976.0,Very Severe Cyclonic Storm
BULBUL,2019-11-08T21:00:00+00:00,19.6,87.7,75.0,976.0,Very Severe Cyclonic Storm
BULBUL,2019-11-09T00:00:00+00:00,20.0,87.6,75.0,976.0,Very Severe Cyclonic Storm
BULBUL,2019-11-09T03:00:00+00:00,20.4,87.6,70.0,980.0,Very Severe Cyclonic Storm
BULBUL,2019-11-09T06:00:00+00:00,20.6,87.8,70.0,982.0,Very Severe Cyclonic Storm
BULBUL,2019-11-09T09:00:00+00:00,20.9,87.9,70.0,982.0,Very Severe Cyclonic Storm
BULBUL,2019-11-09T12:00:00+00:00,21.2,88.1,70.0,982.0,Very Severe Cyclonic Storm
BULBUL,2019-11-09T15:00:00+00:00,21.4,88.3,60.0,986.0,Severe Cyclonic Storm
