cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
BULBUL,2019-11-06T12:00:00+00:00,2019-11-06T12:00:00+00:00,0.0,13.5,89.3,30.0,1000.0,Deep Depression,991,1188,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\06NOV\3DIMG_06NOV2019_1200_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-07T00:00:00+00:00,2019-11-06T23:30:00+00:00,0.5,14.2,89.3,35.0,998.0,Cyclonic Storm,972,1188,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\06NOV\3DIMG_06NOV2019_2330_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-07T12:00:00+00:00,2019-11-07T12:00:00+00:00,0.0,15.9,88.0,45.0,994.0,Cyclonic Storm,926,1153,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\07NOV\3DIMG_07NOV2019_1200_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-07T15:00:00+00:00,2019-11-07T15:00:00+00:00,0.0,16.2,87.9,50.0,992.0,Severe Cyclonic Storm,918,1150,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\07NOV\3DIMG_07NOV2019_1500_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-07T21:00:00+00:00,2019-11-07T21:00:00+00:00,0.0,16.6,87.7,60.0,986.0,Severe Cyclonic Storm,907,1145,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\07NOV\3DIMG_07NOV2019_2100_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-08T00:00:00+00:00,2019-11-07T23:30:00+00:00,0.5,16.9,87.6,65.0,983.0,Very Severe Cyclonic Storm,899,1143,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\07NOV\3DIMG_07NOV2019_2330_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-08T12:00:00+00:00,2019-11-08T12:00:00+00:00,0.0,18.5,87.6,75.0,976.0,Very Severe Cyclonic Storm,854,1143,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\08NOV\3DIMG_08NOV2019_1200_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-08T15:00:00+00:00,2019-11-08T15:00:00+00:00,0.0,19.2,87.7,75.0,976.0,Very Severe Cyclonic Storm,835,1145,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\08NOV\3DIMG_08NOV2019_1500_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-08T21:00:00+00:00,2019-11-08T21:00:00+00:00,0.0,19.6,87.7,75.0,976.0,Very Severe Cyclonic Storm,824,1145,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\08NOV\3DIMG_08NOV2019_2100_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-09T00:00:00+00:00,2019-11-08T23:30:00+00:00,0.5,20.0,87.6,75.0,976.0,Very Severe Cyclonic Storm,812,1143,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\08NOV\3DIMG_08NOV2019_2330_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-09T12:00:00+00:00,2019-11-09T12:00:00+00:00,0.0,21.2,88.1,70.0,982.0,Very Severe Cyclonic Storm,779,1156,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\09NOV\3DIMG_09NOV2019_1200_L1C_ASIA_MER_V01R00.h5
BULBUL,2019-11-09T15:00:00+00:00,2019-11-09T15:00:00+00:00,0.0,21.4,88.3,60.0,986.0,Severe Cyclonic Storm,773,1161,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2019\09NOV\3DIMG_09NOV2019_1500_L1C_ASIA_MER_V01R00.h5
