cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
FANI,2019-04-26T03:00:00+00:00,2019-04-26T03:00:00+00:00,0.0,2.7,89.7,25.0,998.0,D,1279,1198,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\26APR\3DIMG_26APR2019_0300_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-26T06:00:00+00:00,2019-04-26T06:00:00+00:00,0.0,3.0,89.4,25.0,998.0,D,1271,1190,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\26APR\3DIMG_26APR2019_0600_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-26T12:00:00+00:00,2019-04-26T12:00:00+00:00,0.0,3.2,89.2,25.0,998.0,D,1266,1185,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\26APR\3DIMG_26APR2019_1200_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-26T18:00:00+00:00,2019-04-26T17:00:00+00:00,1.0,3.7,88.8,25.0,998.0,D,1253,1174,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\26APR\3DIMG_26APR2019_1700_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T00:00:00+00:00,2019-04-27T00:00:00+00:00,0.0,4.5,88.8,30.0,997.0,DD,1232,1174,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_0000_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T03:00:00+00:00,2019-04-27T03:00:00+00:00,0.0,4.9,88.7,30.0,996.0,DD,1221,1172,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_0300_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T06:00:00+00:00,2019-04-27T06:00:00+00:00,0.0,5.2,88.6,35.0,995.0,CS,1213,1169,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_0600_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T09:00:00+00:00,2019-04-27T09:00:00+00:00,0.0,5.4,88.5,40.0,994.0,CS,1208,1166,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_0900_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T12:00:00+00:00,2019-04-27T12:00:00+00:00,0.0,5.9,88.5,45.0,992.0,CS,1195,1166,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_1200_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T15:00:00+00:00,2019-04-27T15:00:00+00:00,0.0,6.3,88.5,45.0,992.0,CS,1184,1166,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_1500_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T18:00:00+00:00,2019-04-27T17:00:00+00:00,1.0,6.6,88.2,45.0,992.0,CS,1176,1158,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_1700_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-27T21:00:00+00:00,2019-04-27T21:30:00+00:00,0.5,6.9,87.9,45.0,992.0,CS,1168,1150,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\27APR\3DIMG_27APR2019_2130_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T00:00:00+00:00,2019-04-28T00:00:00+00:00,0.0,7.3,87.9,45.0,992.0,CS,1158,1150,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_0000_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T03:00:00+00:00,2019-04-28T03:00:00+00:00,0.0,7.3,87.9,45.0,992.0,CS,1158,1150,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_0300_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T06:00:00+00:00,2019-04-28T06:00:00+00:00,0.0,7.4,87.8,45.0,992.0,CS,1155,1148,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_0600_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T09:00:00+00:00,2019-04-28T09:00:00+00:00,0.0,7.7,87.5,45.0,992.0,CS,1147,1140,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_0900_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T12:00:00+00:00,2019-04-28T12:00:00+00:00,0.0,8.2,87.0,45.0,992.0,CS,1134,1127,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_1200_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T15:00:00+00:00,2019-04-28T15:00:00+00:00,0.0,8.3,86.9,45.0,992.0,CS,1131,1124,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_1500_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T18:00:00+00:00,2019-04-28T17:00:00+00:00,1.0,8.4,86.9,45.0,992.0,CS,1128,1124,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_1700_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-28T21:00:00+00:00,2019-04-28T21:30:00+00:00,0.5,8.5,86.9,45.0,992.0,CS,1126,1124,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\28APR\3DIMG_28APR2019_2130_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-29T00:00:00+00:00,2019-04-29T00:00:00+00:00,0.0,8.6,86.9,45.0,992.0,CS,1123,1124,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\29APR\3DIMG_29APR2019_0000_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-29T03:00:00+00:00,2019-04-29T03:00:00+00:00,0.0,8.7,86.9,45.0,992.0,CS,1120,1124,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\29APR\3DIMG_29APR2019_0300_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-29T06:00:00+00:00,2019-04-29T06:00:00+00:00,0.0,9.2,86.9,45.0,992.0,CS,1107,1124,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\29APR\3DIMG_29APR2019_0600_L1C_ASIA_MER_V01R00.h5
FANI,2019-04-29T09:00:00+00:00,2019-04-29T09:00:00+00:00,0.0,9.7,86.8,45.0,992.0,CS,1094,1121,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\mosdac\fani\3DIMG_L1C_ASIA_MER\2019\29APR\3DIMG_29APR2019_0900_L1C_ASIA_MER_V01R00.h5
