filename,insat_timestamp,label_timestamp,time_diff_hours,lat,lon,wind_kt,pressure_hpa,category,pixel_row,pixel_col
3DIMG_02MAY2019_1200_L1C_ASIA_MER_V01R00.h5,2019-05-02T12:00:04+00:00,2019-05-02T12:00:00+00:00,0.0011111111111111111,17.6,84.8,115.0,932.0,Extremely Severe Cyclonic Storm,879,1068
3DIMG_02MAY2019_1500_L1C_ASIA_MER_V01R00.h5,2019-05-02T15:00:05+00:00,2019-05-02T15:00:00+00:00,0.001388888888888889,17.9,84.9,115.0,934.0,Extremely Severe Cyclonic Storm,871,1071
3DIMG_02MAY2019_1700_L1C_ASIA_MER_V01R00.h5,2019-05-02T17:00:06+00:00,2019-05-02T18:00:00+00:00,0.9983333333333333,18.3,85.0,115.0,934.0,Extremely Severe Cyclonic Storm,860,1074
3DIMG_02MAY2019_2130_L1C_ASIA_MER_V01R00.h5,2019-05-02T21:30:07+00:00,2019-05-02T21:00:00+00:00,0.5019444444444444,18.6,85.2,115.0,934.0,Extremely Severe Cyclonic Storm,852,1079
3DIMG_02MAY2019_2330_L1C_ASIA_MER_V01R00.h5,2019-05-02T23:30:08+00:00,2019-05-03T00:00:00+00:00,0.49777777777777776,19.1,85.5,105.0,945.0,Extremely Severe Cyclonic Storm,838,1087
3DIMG_03MAY2019_1200_L1C_ASIA_MER_V01R00.h5,2019-05-03T12:00:04+00:00,2019-05-03T12:00:00+00:00,0.0011111111111111111,21.2,86.5,70.0,976.0,Very Severe Cyclonic Storm,779,1113
3DIMG_03MAY2019_1530_L1C_ASIA_MER_V01R00.h5,2019-05-03T15:30:05+00:00,2019-05-03T15:00:00+00:00,0.5013888888888889,21.6,86.9,60.0,980.0,Severe Cyclonic Storm,767,1124
3DIMG_03MAY2019_2130_L1C_ASIA_MER_V01R00.h5,2019-05-03T21:30:07+00:00,2019-05-03T21:00:00+00:00,0.5019444444444444,22.6,88.1,50.0,986.0,Severe Cyclonic Storm,739,1156
3DIMG_03MAY2019_2330_L1C_ASIA_MER_V01R00.h5,2019-05-03T23:30:08+00:00,2019-05-04T00:00:00+00:00,0.49777777777777776,23.2,88.5,40.0,994.0,Cyclonic Storm,722,1166
3DIMG_04MAY2019_1200_L1C_ASIA_MER_V01R00.h5,2019-05-04T12:00:04+00:00,2019-05-04T12:00:00+00:00,0.0011111111111111111,25.2,90.7,20.0,1000.0,Depression,664,1225
