storm_id,timestamp,latitude,longitude,wind_kt,pressure_hpa,category
GULAAB,2021-09-24T12:00:00+00:00,18.3,91.2,25.0,1000.0,Depression
GULAAB,2021-09-24T18:00:00+00:00,18.4,90.4,25.0,1000.0,Depression
GULAAB,2021-09-25T00:00:00+00:00,18.4,89.7,30.0,999.0,Deep Depression
GULAAB,2021-09-25T03:00:00+00:00,18.4,89.3,30.0,998.0,Deep Depression
GULAAB,2021-09-25T06:00:00+00:00,18.4,88.7,30.0,998.0,Deep Depression
GULAAB,2021-09-25T12:00:00+00:00,18.3,88.3,35.0,997.0,Cyclonic Storm
GULAAB,2021-09-25T15:00:00+00:00,18.3,88.1,35.0,997.0,Cyclonic Storm
GULAAB,2021-09-25T18:00:00+00:00,18.3,87.9,35.0,996.0,Cyclonic Storm
GULAAB,2021-09-25T21:00:00+00:00,18.3,87.6,35.0,996.0,Cyclonic Storm
GULAAB,2021-09-26T00:00:00+00:00,18.3,87.3,40.0,994.0,Cyclonic Storm
GULAAB,2021-09-26T03:00:00+00:00,18.4,86.4,40.0,994.0,Cyclonic Storm
GULAAB,2021-09-26T06:00:00+00:00,18.4,85.9,45.0,992.0,Cyclonic Storm
GULAAB,2021-09-26T09:00:00+00:00,18.4,85.3,45.0,992.0,Cyclonic Storm
GULAAB,2021-09-26T12:00:00+00:00,18.4,84.6,45.0,992.0,Cyclonic Storm
GULAAB,2021-09-26T15:00:00+00:00,18.3,83.8,45.0,992.0,Cyclonic Storm
GULAAB,2021-09-26T18:00:00+00:00,18.4,83.4,35.0,994.0,Cyclonic Storm
GULAAB,2021-09-26T21:00:00+00:00,18.4,83.0,30.0,996.0,Deep Depression
GULAAB,2021-09-27T00:00:00+00:00,18.4,82.8,30.0,996.0,Deep Depression
GULAAB,2021-09-27T03:00:00+00:00,18.4,82.5,30.0,996.0,Deep Depression
GULAAB,2021-09-27T06:00:00+00:00,18.5,82.0,30.0,996.0,Deep Depression
GULAAB,2021-09-27T12:00:00+00:00,18.6,80.1,25.0,998.0,Depression
GULAAB,2021-09-27T18:00:00+00:00,18.7,79.4,25.0,998.0,Depression
GULAAB,2021-09-28T00:00:00+00:00,19.0,78.2,25.0,998.0,Depression
GULAAB,2021-09-28T03:00:00+00:00,19.4,77.3,20.0,999.0,Depression
