cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
GULAAB,2021-09-25T12:00:00+00:00,2021-09-25T12:00:00+00:00,0.0,18.3,88.3,35.0,997.0,Cyclonic Storm,860,1161,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25SEP\3DIMG_25SEP2021_1200_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-25T15:00:00+00:00,2021-09-25T15:00:00+00:00,0.0,18.3,88.1,35.0,997.0,Cyclonic Storm,860,1156,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25SEP\3DIMG_25SEP2021_1500_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-25T21:00:00+00:00,2021-09-25T21:00:00+00:00,0.0,18.3,87.6,35.0,996.0,Cyclonic Storm,860,1143,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25SEP\3DIMG_25SEP2021_2100_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-26T00:00:00+00:00,2021-09-25T23:30:00+00:00,0.5,18.3,87.3,40.0,994.0,Cyclonic Storm,860,1135,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25SEP\3DIMG_25SEP2021_2330_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-26T12:00:00+00:00,2021-09-26T12:00:00+00:00,0.0,18.4,84.6,45.0,992.0,Cyclonic Storm,857,1063,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26SEP\3DIMG_26SEP2021_1200_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-26T15:00:00+00:00,2021-09-26T15:00:00+00:00,0.0,18.3,83.8,45.0,992.0,Cyclonic Storm,860,1042,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26SEP\3DIMG_26SEP2021_1500_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-26T21:00:00+00:00,2021-09-26T21:00:00+00:00,0.0,18.4,83.0,30.0,996.0,Deep Depression,857,1021,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26SEP\3DIMG_26SEP2021_2100_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-27T00:00:00+00:00,2021-09-26T23:30:00+00:00,0.5,18.4,82.8,30.0,996.0,Deep Depression,857,1015,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26SEP\3DIMG_26SEP2021_2330_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-27T12:00:00+00:00,2021-09-27T12:00:00+00:00,0.0,18.6,80.1,25.0,998.0,Depression,852,944,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\27SEP\3DIMG_27SEP2021_1200_L1C_ASIA_MER_V01R00.h5
GULAAB,2021-09-28T00:00:00+00:00,2021-09-27T23:30:00+00:00,0.5,19.0,78.2,25.0,998.0,Depression,840,893,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\27SEP\3DIMG_27SEP2021_2330_L1C_ASIA_MER_V01R00.h5
