sample_id,file,storm,filename,latitude,longitude,wind_kt,pressure_hpa,category,insat_timestamp,label_timestamp,time_diff_hours,pixel_row,pixel_col
0000_fani_3DIMG_02MAY2019_1200_L1C_ASIA_MER_V01R00,0000_fani_3DIMG_02MAY2019_1200_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_02MAY2019_1200_L1C_ASIA_MER_V01R00.npz,17.6,84.8,115.0,932.0,Extremely Severe Cyclonic Storm,2019-05-02T12:00:04+00:00,2019-05-02T12:00:00+00:00,0.0011111111111111,879,1068
0001_fani_3DIMG_02MAY2019_1500_L1C_ASIA_MER_V01R00,0001_fani_3DIMG_02MAY2019_1500_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_02MAY2019_1500_L1C_ASIA_MER_V01R00.npz,17.9,84.9,115.0,934.0,Extremely Severe Cyclonic Storm,2019-05-02T15:00:05+00:00,2019-05-02T15:00:00+00:00,0.0013888888888888,871,1071
0002_fani_3DIMG_02MAY2019_1700_L1C_ASIA_MER_V01R00,0002_fani_3DIMG_02MAY2019_1700_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_02MAY2019_1700_L1C_ASIA_MER_V01R00.npz,18.3,85.0,115.0,934.0,Extremely Severe Cyclonic Storm,2019-05-02T17:00:06+00:00,2019-05-02T18:00:00+00:00,0.9983333333333332,860,1074
0003_fani_3DIMG_02MAY2019_2130_L1C_ASIA_MER_V01R00,0003_fani_3DIMG_02MAY2019_2130_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_02MAY2019_2130_L1C_ASIA_MER_V01R00.npz,18.6,85.2,115.0,934.0,Extremely Severe Cyclonic Storm,2019-05-02T21:30:07+00:00,2019-05-02T21:00:00+00:00,0.5019444444444444,852,1079
0004_fani_3DIMG_02MAY2019_2330_L1C_ASIA_MER_V01R00,0004_fani_3DIMG_02MAY2019_2330_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_02MAY2019_2330_L1C_ASIA_MER_V01R00.npz,19.1,85.5,105.0,945.0,Extremely Severe Cyclonic Storm,2019-05-02T23:30:08+00:00,2019-05-03T00:00:00+00:00,0.4977777777777777,838,1087
0005_fani_3DIMG_03MAY2019_1200_L1C_ASIA_MER_V01R00,0005_fani_3DIMG_03MAY2019_1200_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_03MAY2019_1200_L1C_ASIA_MER_V01R00.npz,21.2,86.5,70.0,976.0,Very Severe Cyclonic Storm,2019-05-03T12:00:04+00:00,2019-05-03T12:00:00+00:00,0.0011111111111111,779,1113
0006_fani_3DIMG_03MAY2019_1530_L1C_ASIA_MER_V01R00,0006_fani_3DIMG_03MAY2019_1530_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_03MAY2019_1530_L1C_ASIA_MER_V01R00.npz,21.6,86.9,60.0,980.0,Severe Cyclonic Storm,2019-05-03T15:30:05+00:00,2019-05-03T15:00:00+00:00,0.5013888888888889,767,1124
0007_fani_3DIMG_03MAY2019_2130_L1C_ASIA_MER_V01R00,0007_fani_3DIMG_03MAY2019_2130_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_03MAY2019_2130_L1C_ASIA_MER_V01R00.npz,22.6,88.1,50.0,986.0,Severe Cyclonic Storm,2019-05-03T21:30:07+00:00,2019-05-03T21:00:00+00:00,0.5019444444444444,739,1156
0008_fani_3DIMG_03MAY2019_2330_L1C_ASIA_MER_V01R00,0008_fani_3DIMG_03MAY2019_2330_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_03MAY2019_2330_L1C_ASIA_MER_V01R00.npz,23.2,88.5,40.0,994.0,Cyclonic Storm,2019-05-03T23:30:08+00:00,2019-05-04T00:00:00+00:00,0.4977777777777777,722,1166
0009_fani_3DIMG_04MAY2019_1200_L1C_ASIA_MER_V01R00,0009_fani_3DIMG_04MAY2019_1200_L1C_ASIA_MER_V01R00.npz,FANI,3DIMG_04MAY2019_1200_L1C_ASIA_MER_V01R00.npz,25.2,90.7,20.0,1000.0,Depression,2019-05-04T12:00:04+00:00,2019-05-04T12:00:00+00:00,0.0011111111111111,664,1225
0010_tauktae_3DIMG_16MAY2021_1229_L1C_ASIA_MER_V01R00,0010_tauktae_3DIMG_16MAY2021_1229_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_16MAY2021_1229_L1C_ASIA_MER_V01R00.h5,16.7,72.5,75.0,972.0,nan,2021-05-16T12:29:00+00:00,2021-05-16T12:00:00+00:00,0.4833333333333333,904,742
0011_tauktae_3DIMG_16MAY2021_1459_L1C_ASIA_MER_V01R00,0011_tauktae_3DIMG_16MAY2021_1459_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_16MAY2021_1459_L1C_ASIA_MER_V01R00.h5,17.2,72.3,80.0,968.0,nan,2021-05-16T14:59:00+00:00,2021-05-16T15:00:00+00:00,0.0166666666666666,890,737
0012_tauktae_3DIMG_16MAY2021_1859_L1C_ASIA_MER_V01R00,0012_tauktae_3DIMG_16MAY2021_1859_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_16MAY2021_1859_L1C_ASIA_MER_V01R00.h5,17.5,72.0,85.0,964.0,nan,2021-05-16T18:59:00+00:00,2021-05-16T18:00:00+00:00,0.9833333333333332,882,729
0013_tauktae_3DIMG_16MAY2021_2059_L1C_ASIA_MER_V01R00,0013_tauktae_3DIMG_16MAY2021_2059_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_16MAY2021_2059_L1C_ASIA_MER_V01R00.h5,18.0,71.7,90.0,960.0,nan,2021-05-16T20:59:00+00:00,2021-05-16T21:00:00+00:00,0.0166666666666666,868,721
0014_tauktae_3DIMG_16MAY2021_2329_L1C_ASIA_MER_V01R00,0014_tauktae_3DIMG_16MAY2021_2329_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_16MAY2021_2329_L1C_ASIA_MER_V01R00.h5,18.5,71.5,100.0,950.0,nan,2021-05-16T23:29:00+00:00,2021-05-17T00:00:00+00:00,0.5166666666666667,854,716
0015_tauktae_3DIMG_17MAY2021_1459_L1C_ASIA_MER_V01R00,0015_tauktae_3DIMG_17MAY2021_1459_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_17MAY2021_1459_L1C_ASIA_MER_V01R00.h5,20.5,71.2,90.0,960.0,nan,2021-05-17T14:59:00+00:00,2021-05-17T15:00:00+00:00,0.0166666666666666,798,708
0016_tauktae_3DIMG_17MAY2021_1800_L1C_ASIA_MER_V01R00,0016_tauktae_3DIMG_17MAY2021_1800_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_17MAY2021_1800_L1C_ASIA_MER_V01R00.h5,20.9,71.1,85.0,964.0,nan,2021-05-17T18:00:00+00:00,2021-05-17T18:00:00+00:00,0.0,787,705
0017_tauktae_3DIMG_17MAY2021_2100_L1C_ASIA_MER_V01R00,0017_tauktae_3DIMG_17MAY2021_2100_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_17MAY2021_2100_L1C_ASIA_MER_V01R00.h5,21.3,71.2,75.0,972.0,nan,2021-05-17T21:00:00+00:00,2021-05-17T21:00:00+00:00,0.0,776,708
0018_tauktae_3DIMG_17MAY2021_2330_L1C_ASIA_MER_V01R00,0018_tauktae_3DIMG_17MAY2021_2330_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_17MAY2021_2330_L1C_ASIA_MER_V01R00.h5,21.5,71.2,65.0,978.0,nan,2021-05-17T23:30:00+00:00,2021-05-18T00:00:00+00:00,0.5,770,708
0019_tauktae_3DIMG_18MAY2021_1459_L1C_ASIA_MER_V01R00,0019_tauktae_3DIMG_18MAY2021_1459_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_18MAY2021_1459_L1C_ASIA_MER_V01R00.h5,23.6,72.6,30.0,994.0,nan,2021-05-18T14:59:00+00:00,2021-05-18T15:00:00+00:00,0.0166666666666666,710,745
0020_tauktae_3DIMG_18MAY2021_1800_L1C_ASIA_MER_V01R00,0020_tauktae_3DIMG_18MAY2021_1800_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_18MAY2021_1800_L1C_ASIA_MER_V01R00.h5,24.1,73.0,30.0,995.0,nan,2021-05-18T18:00:00+00:00,2021-05-18T18:00:00+00:00,0.0,696,755
0021_tauktae_3DIMG_18MAY2021_2359_L1C_ASIA_MER_V01R00,0021_tauktae_3DIMG_18MAY2021_2359_L1C_ASIA_MER_V01R00.npz,TAUKTAE,3DIMG_18MAY2021_2359_L1C_ASIA_MER_V01R00.h5,24.5,73.3,25.0,996.0,nan,2021-05-18T23:59:00+00:00,2021-05-19T00:00:00+00:00,0.0166666666666666,684,763
