storm_id,timestamp,latitude,longitude,wind_kt,pressure_hpa,category
MICHAUNG,2023-12-01 00:00:00+00:00,9.1,86.4,20.0,1002.0,Depression
MICHAUNG,2023-12-01 03:00:00+00:00,9.3,86.2,20.0,1002.0,Depression
MICHAUNG,2023-12-01 06:00:00+00:00,9.5,86.0,25.0,1002.0,Depression
MICHAUNG,2023-12-01 12:00:00+00:00,10.0,85.7,25.0,1001.0,Depression
MICHAUNG,2023-12-01 18:00:00+00:00,10.3,85.1,25.0,1000.0,Depression
MICHAUNG,2023-12-02 00:00:00+00:00,10.5,84.1,30.0,998.0,Deep Depression
MICHAUNG,2023-12-02 03:00:00+00:00,10.6,83.6,30.0,997.0,Deep Depression
MICHAUNG,2023-12-02 06:00:00+00:00,10.7,83.2,30.0,997.0,Deep Depression
MICHAUNG,2023-12-02 12:00:00+00:00,10.9,83.1,30.0,997.0,Deep Depression
MICHAUNG,2023-12-02 18:00:00+00:00,11.1,82.7,30.0,996.0,Deep Depression
MICHAUNG,2023-12-03 00:00:00+00:00,11.4,82.5,35.0,995.0,Cyclonic Storm
MICHAUNG,2023-12-03 03:00:00+00:00,11.5,82.4,35.0,995.0,Cyclonic Storm
MICHAUNG,2023-12-03 06:00:00+00:00,11.8,82.2,35.0,995.0,Cyclonic Storm
MICHAUNG,2023-12-03 09:00:00+00:00,12.0,82.1,35.0,995.0,Cyclonic Storm
MICHAUNG,2023-12-03 12:00:00+00:00,12.2,82.0,35.0,995.0,Cyclonic Storm
MICHAUNG,2023-12-03 15:00:00+00:00,12.4,81.9,40.0,994.0,Cyclonic Storm
MICHAUNG,2023-12-03 18:00:00+00:00,12.8,81.6,45.0,992.0,Cyclonic Storm
MICHAUNG,2023-12-03 21:00:00+00:00,13.0,81.4,45.0,992.0,Cyclonic Storm
MICHAUNG,2023-12-04 00:00:00+00:00,13.1,81.2,45.0,992.0,Cyclonic Storm
MICHAUNG,2023-12-04 03:00:00+00:00,13.3,81.0,50.0,988.0,Severe Cyclonic Storm
MICHAUNG,2023-12-04 06:00:00+00:00,13.5,80.8,50.0,988.0,Severe Cyclonic Storm
MICHAUNG,2023-12-04 09:00:00+00:00,13.7,80.7,50.0,988.0,Severe Cyclonic Storm
MICHAUNG,2023-12-04 12:00:00+00:00,14.0,80.5,55.0,986.0,Severe Cyclonic Storm
MICHAUNG,2023-12-04 15:00:00+00:00,14.3,80.4,55.0,986.0,Severe Cyclonic Storm
MICHAUNG,2023-12-04 18:00:00+00:00,14.5,80.3,55.0,986.0,Severe Cyclonic Storm
MICHAUNG,2023-12-04 21:00:00+00:00,14.7,80.2,55.0,986.0,Severe Cyclonic Storm
MICHAUNG,2023-12-05 00:00:00+00:00,14.9,80.2,50.0,988.0,Severe Cyclonic Storm
MICHAUNG,2023-12-05 03:00:00+00:00,15.2,80.2,50.0,988.0,Severe Cyclonic Storm
MICHAUNG,2023-12-05 06:00:00+00:00,15.5,80.3,50.0,988.0,Severe Cyclonic Storm
