cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
MICHAUNG,2023-12-02T18:00:00+00:00,2023-12-02T18:00:00+00:00,0.0,11.1,82.7,30.0,996.0,Deep Depression,1056,1013,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\02DEC\3DIMG_02DEC2023_1800_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-03T00:00:00+00:00,2023-12-02T23:30:00+00:00,0.5,11.4,82.5,35.0,995.0,Cyclonic Storm,1048,1007,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\02DEC\3DIMG_02DEC2023_2330_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-03T15:00:00+00:00,2023-12-03T15:00:00+00:00,0.0,12.4,81.9,40.0,994.0,Cyclonic Storm,1021,991,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\03DEC\3DIMG_03DEC2023_1500_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-03T18:00:00+00:00,2023-12-03T18:00:00+00:00,0.0,12.8,81.6,45.0,992.0,Cyclonic Storm,1010,983,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\03DEC\3DIMG_03DEC2023_1800_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-03T21:00:00+00:00,2023-12-03T21:00:00+00:00,0.0,13.0,81.4,45.0,992.0,Cyclonic Storm,1005,978,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\03DEC\3DIMG_03DEC2023_2100_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-04T00:00:00+00:00,2023-12-03T23:30:00+00:00,0.5,13.1,81.2,45.0,992.0,Cyclonic Storm,1002,973,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\03DEC\3DIMG_03DEC2023_2330_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-04T15:00:00+00:00,2023-12-04T15:00:00+00:00,0.0,14.3,80.4,55.0,986.0,Severe Cyclonic Storm,970,952,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\04DEC\3DIMG_04DEC2023_1500_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-04T18:00:00+00:00,2023-12-04T18:00:00+00:00,0.0,14.5,80.3,55.0,986.0,Severe Cyclonic Storm,964,949,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\04DEC\3DIMG_04DEC2023_1800_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-04T21:00:00+00:00,2023-12-04T21:00:00+00:00,0.0,14.7,80.2,55.0,986.0,Severe Cyclonic Storm,959,946,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\04DEC\3DIMG_04DEC2023_2100_L1C_ASIA_MER_V01R00.h5
MICHAUNG,2023-12-05T00:00:00+00:00,2023-12-04T23:30:00+00:00,0.5,14.9,80.2,50.0,988.0,Severe Cyclonic Storm,953,946,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2023\04DEC\3DIMG_04DEC2023_2330_L1C_ASIA_MER_V01R00.h5
