storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
ASANI,2022-05-07 06:00:00+00:00,9.4,91.3,25.0,996.0,D,1.5,4.0,
ASANI,2022-05-07 12:00:00+00:00,10.3,90.4,30.0,995.0,DD,2.0,5.0,
ASANI,2022-05-07 18:00:00+00:00,10.8,90.1,30.0,994.0,DD,2.0,5.0,
ASANI,2022-05-08 00:00:00+00:00,11.3,89.3,35.0,992.0,CS,2.5,7.0,
ASANI,2022-05-08 03:00:00+00:00,11.5,89.0,40.0,990.0,CS,2.5,8.0,
ASANI,2022-05-08 06:00:00+00:00,11.8,88.7,45.0,988.0,CS,3.0,10.0,
ASANI,2022-05-08 09:00:00+00:00,12.0,88.4,45.0,988.0,CS,3.0,10.0,
ASANI,2022-05-08 12:00:00+00:00,12.3,88.2,50.0,986.0,SCS,3.0,12.0,
ASANI,2022-05-08 15:00:00+00:00,12.7,87.8,50.0,986.0,SCS,3.0,12.0,
ASANI,2022-05-08 18:00:00+00:00,13.1,87.5,55.0,984.0,SCS,3.5,14.0,
ASANI,2022-05-08 21:00:00+00:00,13.5,87.1,55.0,984.0,SCS,3.5,14.0,
ASANI,2022-05-09 00:00:00+00:00,13.9,86.8,55.0,983.0,SCS,3.5,15.0,
ASANI,2022-05-09 03:00:00+00:00,14.2,86.5,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-09 06:00:00+00:00,14.6,86.3,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-09 09:00:00+00:00,14.7,86.0,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-09 12:00:00+00:00,14.9,85.8,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-09 15:00:00+00:00,15.0,85.5,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-09 18:00:00+00:00,15.1,85.2,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-09 21:00:00+00:00,15.2,84.9,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-10 00:00:00+00:00,15.3,84.6,55.0,982.0,SCS,3.5,16.0,
ASANI,2022-05-10 03:00:00+00:00,15.4,84.0,55.0,984.0,SCS,3.5,14.0,
ASANI,2022-05-10 06:00:00+00:00,15.5,83.5,55.0,984.0,SCS,3.5,14.0,
ASANI,2022-05-10 09:00:00+00:00,15.6,83.1,55.0,984.0,SCS,3.5,14.0,
ASANI,2022-05-10 12:00:00+00:00,15.7,82.8,50.0,984.0,SCS,3.0,14.0,
ASANI,2022-05-10 15:00:00+00:00,15.8,82.4,50.0,985.0,SCS,3.0,13.0,
ASANI,2022-05-10 18:00:00+00:00,15.9,82.1,50.0,986.0,SCS,3.0,12.0,
ASANI,2022-05-10 21:00:00+00:00,16.0,81.9,45.0,986.0,CS,3.0,10.0,
ASANI,2022-05-11 00:00:00+00:00,16.1,81.8,45.0,988.0,CS,3.0,10.0,
ASANI,2022-05-11 03:00:00+00:00,16.1,81.6,45.0,988.0,CS,3.0,10.0,
ASANI,2022-05-11 06:00:00+00:00,16.2,81.5,40.0,990.0,CS,2.5,8.0,
ASANI,2022-05-11 09:00:00+00:00,16.2,81.4,40.0,990.0,CS,2.5,8.0,
ASANI,2022-05-11 12:00:00+00:00,16.3,81.4,30.0,992.0,DD,2.0,6.0,
ASANI,2022-05-11 15:00:00+00:00,16.3,81.3,30.0,993.0,DD,,5.0,
ASANI,2022-05-11 18:00:00+00:00,16.3,81.2,30.0,994.0,DD,,5.0,
ASANI,2022-05-12 00:00:00+00:00,16.2,80.9,25.0,996.0,D,,4.0,
