storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
BIPARJOY,2023-06-06 00:00:00+00:00,11.3,66.0,25.0,1000.0,D,1.5,3.0,
BIPARJOY,2023-06-06 03:00:00+00:00,11.5,66.0,25.0,1000.0,D,1.5,3.0,
BIPARJOY,2023-06-06 06:00:00+00:00,11.9,66.0,30.0,999.0,DD,2.0,5.0,
BIPARJOY,2023-06-06 12:00:00+00:00,12.1,66.0,35.0,998.0,CS,2.5,6.0,
BIPARJOY,2023-06-06 15:00:00+00:00,12.3,66.0,35.0,998.0,CS,2.5,7.0,
BIPARJOY,2023-06-06 18:00:00+00:00,12.5,66.0,40.0,996.0,CS,2.5,8.0,
BIPARJOY,2023-06-06 21:00:00+00:00,12.5,66.0,45.0,996.0,CS,3.0,10.0,
BIPARJOY,2023-06-07 00:00:00+00:00,12.6,66.1,55.0,990.0,SCS,3.5,15.0,
BIPARJOY,2023-06-07 03:00:00+00:00,12.7,66.2,60.0,988.0,SCS,3.5,18.0,
BIPARJOY,2023-06-07 06:00:00+00:00,12.8,66.3,65.0,983.0,VSCS,4.0,21.0,
BIPARJOY,2023-06-07 09:00:00+00:00,13.1,66.3,65.0,983.0,VSCS,4.0,21.0,
BIPARJOY,2023-06-07 12:00:00+00:00,13.3,66.2,65.0,983.0,VSCS,4.0,22.0,
BIPARJOY,2023-06-07 15:00:00+00:00,13.4,66.2,65.0,983.0,VSCS,4.0,22.0,
BIPARJOY,2023-06-07 18:00:00+00:00,13.6,66.0,70.0,980.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-07 21:00:00+00:00,13.7,66.0,70.0,980.0,VSCS,4.0,26.0,
BIPARJOY,2023-06-08 00:00:00+00:00,13.9,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 03:00:00+00:00,14.0,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 06:00:00+00:00,14.1,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 09:00:00+00:00,14.3,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 12:00:00+00:00,14.4,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 15:00:00+00:00,14.5,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 18:00:00+00:00,14.6,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-08 21:00:00+00:00,14.6,66.0,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-09 00:00:00+00:00,14.7,66.2,75.0,978.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-09 03:00:00+00:00,14.8,66.4,70.0,980.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-09 06:00:00+00:00,15.0,66.6,70.0,980.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-09 09:00:00+00:00,15.3,66.9,70.0,980.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-09 12:00:00+00:00,15.5,67.1,65.0,982.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-09 15:00:00+00:00,15.7,67.3,65.0,982.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-09 18:00:00+00:00,16.0,67.4,70.0,978.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-09 21:00:00+00:00,16.3,67.4,70.0,976.0,VSCS,4.0,24.0,
BIPARJOY,2023-06-10 00:00:00+00:00,16.5,67.4,75.0,974.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-10 03:00:00+00:00,16.7,67.4,75.0,972.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-10 06:00:00+00:00,16.8,67.4,75.0,970.0,VSCS,4.5,28.0,
BIPARJOY,2023-06-10 09:00:00+00:00,16.9,67.4,80.0,966.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-10 12:00:00+00:00,17.1,67.3,80.0,964.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-10 15:00:00+00:00,17.3,67.3,80.0,964.0,VSCS,4.5,32.0,
BIPARJOY,2023-06-10 18:00:00+00:00,17.4,67.3,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-10 21:00:00+00:00,17.6,67.3,85.0,962.0,VSCS,4.5,36.0,
BIPARJOY,2023-06-11 00:00:00+00:00,17.9,67.4,90.0,960.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 03:00:00+00:00,18.0,67.6,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 06:00:00+00:00,18.2,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 09:00:00+00:00,18.4,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 12:00:00+00:00,18.6,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 15:00:00+00:00,18.7,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 18:00:00+00:00,18.9,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-11 21:00:00+00:00,19.0,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-12 00:00:00+00:00,19.2,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-12 03:00:00+00:00,19.4,67.7,90.0,958.0,ESCS,5.0,40.0,
BIPARJOY,2023-06-12 06:00:00+00:00,19.6,67.6,90.0,958.0,ESCS,5.0,40.0,
