storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
BULBUL,2019-11-05 00:00:00+00:00,13.1,91.5,20.0,1004.0,D,1.5,3.0,
BULBUL,2019-11-05 03:00:00+00:00,13.1,91.0,25.0,1003.0,D,1.5,3.0,
BULBUL,2019-11-05 06:00:00+00:00,13.1,90.7,25.0,1003.0,D,1.5,3.0,
BULBUL,2019-11-05 12:00:00+00:00,13.2,90.1,25.0,1003.0,D,1.5,3.0,
BULBUL,2019-11-05 18:00:00+00:00,13.3,89.8,25.0,1002.0,D,1.5,4.0,
BULBUL,2019-11-06 00:00:00+00:00,13.4,89.7,30.0,1001.0,DD,2.0,5.0,
BULBUL,2019-11-06 03:00:00+00:00,13.4,89.6,30.0,1001.0,DD,2.0,5.0,
BULBUL,2019-11-06 06:00:00+00:00,13.4,89.4,30.0,1001.0,DD,2.0,5.0,
BULBUL,2019-11-06 12:00:00+00:00,13.5,89.3,30.0,1000.0,DD,2.0,6.0,
BULBUL,2019-11-06 18:00:00+00:00,13.8,89.3,35.0,998.0,CS,2.5,7.0,
BULBUL,2019-11-07 00:00:00+00:00,14.2,89.3,35.0,998.0,CS,2.5,7.0,
BULBUL,2019-11-07 03:00:00+00:00,14.7,89.3,35.0,998.0,CS,2.5,7.0,
BULBUL,2019-11-07 06:00:00+00:00,15.3,88.7,40.0,996.0,CS,2.5,8.0,
BULBUL,2019-11-07 09:00:00+00:00,15.5,88.4,45.0,995.0,CS,3.0,9.0,
BULBUL,2019-11-07 12:00:00+00:00,15.9,88.0,45.0,994.0,CS,3.0,10.0,
BULBUL,2019-11-07 15:00:00+00:00,16.2,87.9,50.0,992.0,SCS,3.0,12.0,
BULBUL,2019-11-07 18:00:00+00:00,16.4,87.8,55.0,989.0,SCS,3.5,15.0,
BULBUL,2019-11-07 21:00:00+00:00,16.6,87.7,60.0,986.0,SCS,3.5,18.0,
BULBUL,2019-11-08 00:00:00+00:00,16.9,87.6,65.0,983.0,VSCS,4.0,21.0,
BULBUL,2019-11-08 03:00:00+00:00,17.2,87.6,65.0,982.0,VSCS,4.0,22.0,
BULBUL,2019-11-08 06:00:00+00:00,17.6,87.6,70.0,980.0,VSCS,4.0,24.0,
BULBUL,2019-11-08 09:00:00+00:00,18.1,87.6,70.0,980.0,VSCS,4.0,24.0,
BULBUL,2019-11-08 12:00:00+00:00,18.5,87.6,75.0,976.0,VSCS,4.0,28.0,
BULBUL,2019-11-08 15:00:00+00:00,19.2,87.7,75.0,976.0,VSCS,4.0,28.0,
BULBUL,2019-11-08 18:00:00+00:00,19.3,87.6,75.0,976.0,VSCS,4.0,28.0,
BULBUL,2019-11-08 21:00:00+00:00,19.6,87.7,75.0,976.0,VSCS,4.0,28.0,
BULBUL,2019-11-09 00:00:00+00:00,20.0,87.6,75.0,976.0,VSCS,4.0,28.0,
BULBUL,2019-11-09 03:00:00+00:00,20.4,87.6,70.0,980.0,VSCS,4.0,24.0,
BULBUL,2019-11-09 06:00:00+00:00,20.6,87.8,70.0,982.0,VSCS,4.0,22.0,
BULBUL,2019-11-09 09:00:00+00:00,20.9,87.9,70.0,982.0,VSCS,4.0,22.0,
BULBUL,2019-11-09 12:00:00+00:00,21.2,88.1,70.0,982.0,VSCS,4.5,22.0,
BULBUL,2019-11-09 15:00:00+00:00,21.4,88.3,60.0,986.0,SCS,4.5,18.0,
BULBUL,2019-11-09 18:00:00+00:00,21.6,88.6,60.0,990.0,SCS,,18.0,
BULBUL,2019-11-09 21:00:00+00:00,21.9,89.1,50.0,996.0,SCS,,12.0,
BULBUL,2019-11-10 00:00:00+00:00,22.1,89.5,45.0,998.0,CS,,10.0,
BULBUL,2019-11-10 03:00:00+00:00,22.2,89.7,40.0,1000.0,CS,,8.0,
BULBUL,2019-11-10 06:00:00+00:00,22.3,90.0,40.0,1000.0,CS,,8.0,
BULBUL,2019-11-10 09:00:00+00:00,22.4,90.1,30.0,1002.0,DD,,6.0,
BULBUL,2019-11-10 12:00:00+00:00,22.5,90.4,30.0,1002.0,DD,,5.0,
BULBUL,2019-11-10 18:00:00+00:00,22.7,91.2,30.0,1002.0,DD,,5.0,
BULBUL,2019-11-11 00:00:00+00:00,23.1,91.9,20.0,1004.0,D,,3.0,
