storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
FANI,2019-04-26 03:00:00+00:00,2.7,89.7,25.0,998.0,D,1.5,4.0,
FANI,2019-04-26 06:00:00+00:00,3.0,89.4,25.0,998.0,D,1.5,4.0,
FANI,2019-04-26 12:00:00+00:00,3.2,89.2,25.0,998.0,D,1.5,4.0,
FANI,2019-04-26 18:00:00+00:00,3.7,88.8,25.0,998.0,D,1.5,4.0,
FANI,2019-04-27 00:00:00+00:00,4.5,88.8,30.0,997.0,DD,2.0,5.0,
FANI,2019-04-27 03:00:00+00:00,4.9,88.7,30.0,996.0,DD,2.0,6.0,
FANI,2019-04-27 06:00:00+00:00,5.2,88.6,35.0,995.0,CS,2.5,7.0,
FANI,2019-04-27 09:00:00+00:00,5.4,88.5,40.0,994.0,CS,2.5,8.0,
FANI,2019-04-27 12:00:00+00:00,5.9,88.5,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-27 15:00:00+00:00,6.3,88.5,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-27 18:00:00+00:00,6.6,88.2,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-27 21:00:00+00:00,6.9,87.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 00:00:00+00:00,7.3,87.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 03:00:00+00:00,7.3,87.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 06:00:00+00:00,7.4,87.8,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 09:00:00+00:00,7.7,87.5,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 12:00:00+00:00,8.2,87.0,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 15:00:00+00:00,8.3,86.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 18:00:00+00:00,8.4,86.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-28 21:00:00+00:00,8.5,86.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-29 00:00:00+00:00,8.6,86.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-29 03:00:00+00:00,8.7,86.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-29 06:00:00+00:00,9.2,86.9,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-29 09:00:00+00:00,9.7,86.8,45.0,992.0,CS,3.0,10.0,
FANI,2019-04-29 12:00:00+00:00,10.1,86.7,55.0,986.0,SCS,3.5,16.0,
FANI,2019-04-29 15:00:00+00:00,10.4,86.7,55.0,986.0,SCS,3.5,16.0,
FANI,2019-04-29 18:00:00+00:00,10.8,86.6,55.0,986.0,SCS,3.5,16.0,
FANI,2019-04-29 21:00:00+00:00,11.1,86.5,65.0,982.0,VSCS,4.0,20.0,
FANI,2019-04-30 00:00:00+00:00,11.7,86.5,70.0,980.0,VSCS,4.0,22.0,
FANI,2019-04-30 03:00:00+00:00,12.3,86.2,75.0,974.0,VSCS,4.5,28.0,
FANI,2019-04-30 06:00:00+00:00,12.6,85.7,80.0,970.0,VSCS,4.5,32.0,
FANI,2019-04-30 09:00:00+00:00,13.0,85.3,85.0,966.0,VSCS,4.5,36.0,
FANI,2019-04-30 12:00:00+00:00,13.3,84.7,90.0,962.0,ESCS,5.0,40.0,
FANI,2019-04-30 15:00:00+00:00,13.4,84.5,95.0,957.0,ESCS,5.0,45.0,
FANI,2019-04-30 18:00:00+00:00,13.5,84.4,95.0,957.0,ESCS,5.0,45.0,
FANI,2019-04-30 21:00:00+00:00,13.6,84.2,95.0,957.0,ESCS,5.0,45.0,
FANI,2019-05-01 00:00:00+00:00,13.9,84.0,95.0,957.0,ESCS,5.0,45.0,
FANI,2019-05-01 03:00:00+00:00,14.1,83.9,95.0,957.0,ESCS,5.0,45.0,
FANI,2019-05-01 06:00:00+00:00,14.2,83.9,95.0,957.0,ESCS,5.0,45.0,
FANI,2019-05-01 09:00:00+00:00,14.5,84.1,95.0,955.0,ESCS,5.0,45.0,
FANI,2019-05-01 12:00:00+00:00,14.9,84.1,100.0,950.0,ESCS,5.5,50.0,
FANI,2019-05-01 15:00:00+00:00,15.1,84.1,100.0,950.0,ESCS,5.5,50.0,
FANI,2019-05-01 18:00:00+00:00,15.2,84.1,100.0,950.0,ESCS,5.5,50.0,
FANI,2019-05-01 21:00:00+00:00,15.5,84.2,100.0,950.0,ESCS,5.5,50.0,
FANI,2019-05-02 00:00:00+00:00,15.9,84.5,105.0,945.0,ESCS,5.5,55.0,
FANI,2019-05-02 03:00:00+00:00,16.2,84.6,105.0,945.0,ESCS,5.5,55.0,
FANI,2019-05-02 06:00:00+00:00,16.7,84.8,110.0,940.0,ESCS,6.0,60.0,
FANI,2019-05-02 09:00:00+00:00,17.1,84.8,115.0,932.0,ESCS,6.0,66.0,
FANI,2019-05-02 12:00:00+00:00,17.5,84.8,115.0,932.0,ESCS,6.0,66.0,
FANI,2019-05-02 15:00:00+00:00,17.8,84.9,115.0,934.0,ESCS,6.0,66.0,
FANI,2019-05-02 18:00:00+00:00,18.2,85.0,115.0,934.0,ESCS,6.0,66.0,
FANI,2019-05-02 21:00:00+00:00,18.6,85.2,115.0,934.0,ESCS,6.0,66.0,
FANI,2019-05-03 00:00:00+00:00,19.1,85.5,105.0,945.0,ESCS,6.0,55.0,
FANI,2019-05-03 03:00:00+00:00,19.6,85.7,100.0,952.0,ESCS,5.5,50.0,
FANI,2019-05-03 06:00:00+00:00,20.2,85.9,85.0,966.0,VSCS,,36.0,
FANI,2019-05-03 09:00:00+00:00,20.6,86.0,75.0,970.0,VSCS,,28.0,
FANI,2019-05-03 12:00:00+00:00,21.1,86.5,70.0,976.0,VSCS,,22.0,
FANI,2019-05-03 15:00:00+00:00,21.5,86.7,60.0,980.0,SCS,,18.0,
FANI,2019-05-03 18:00:00+00:00,21.9,87.1,55.0,984.0,SCS,,16.0,
FANI,2019-05-03 21:00:00+00:00,22.5,87.9,50.0,986.0,SCS,,12.0,
FANI,2019-05-04 00:00:00+00:00,23.1,88.2,40.0,994.0,CS,,8.0,
FANI,2019-05-04 03:00:00+00:00,23.6,88.8,30.0,996.0,DD,,6.0,
FANI,2019-05-04 06:00:00+00:00,24.3,89.3,25.0,998.0,D,,5.0,
FANI,2019-05-04 12:00:00+00:00,25.2,90.7,20.0,1000.0,D,,4.0,
