storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
MICHAUNG,2023-12-01 00:00:00+00:00,9.1,86.4,20.0,1002.0,D,1.5,3.0,
MICHAUNG,2023-12-01 03:00:00+00:00,9.3,86.2,20.0,1002.0,D,1.5,3.0,
MICHAUNG,2023-12-01 06:00:00+00:00,9.5,86.0,25.0,1002.0,D,1.5,3.0,
MICHAUNG,2023-12-01 12:00:00+00:00,10.0,85.7,25.0,1001.0,D,1.5,3.0,
MICHAUNG,2023-12-01 18:00:00+00:00,10.3,85.1,25.0,1000.0,D,1.5,4.0,
MICHAUNG,2023-12-02 03:00:00+00:00,10.6,83.6,30.0,997.0,DD,2.0,5.0,
MICHAUNG,2023-12-02 06:00:00+00:00,10.7,83.2,30.0,997.0,DD,2.0,5.0,
MICHAUNG,2023-12-02 12:00:00+00:00,10.9,83.1,30.0,997.0,DD,2.0,5.0,
MICHAUNG,2023-12-02 18:00:00+00:00,11.1,82.7,30.0,996.0,DD,2.0,6.0,
MICHAUNG,2023-12-03 00:00:00+00:00,11.4,82.5,35.0,995.0,CS,2.5,7.0,
MICHAUNG,2023-12-03 03:00:00+00:00,11.5,82.4,35.0,995.0,CS,2.5,7.0,
MICHAUNG,2023-12-03 06:00:00+00:00,11.8,82.2,35.0,995.0,CS,2.5,7.0,
MICHAUNG,2023-12-03 09:00:00+00:00,12.0,82.1,35.0,995.0,CS,2.5,7.0,
MICHAUNG,2023-12-03 12:00:00+00:00,12.2,82.0,35.0,995.0,CS,2.5,7.0,
MICHAUNG,2023-12-03 15:00:00+00:00,12.4,81.9,40.0,994.0,CS,2.5,8.0,
MICHAUNG,2023-12-03 18:00:00+00:00,12.8,81.6,45.0,992.0,CS,3.0,10.0,
MICHAUNG,2023-12-03 21:00:00+00:00,13.0,81.4,45.0,992.0,CS,3.0,10.0,
MICHAUNG,2023-12-04 00:00:00+00:00,13.1,81.2,45.0,992.0,CS,3.0,10.0,
MICHAUNG,2023-12-04 03:00:00+00:00,13.3,81.0,50.0,988.0,SCS,3.0,14.0,
MICHAUNG,2023-12-04 06:00:00+00:00,13.5,80.8,50.0,988.0,SCS,3.0,14.0,
MICHAUNG,2023-12-04 09:00:00+00:00,13.7,80.7,50.0,988.0,SCS,3.0,14.0,
MICHAUNG,2023-12-04 12:00:00+00:00,14.0,80.5,55.0,986.0,SCS,3.5,16.0,
MICHAUNG,2023-12-04 15:00:00+00:00,14.3,80.4,55.0,986.0,SCS,3.5,16.0,
MICHAUNG,2023-12-04 18:00:00+00:00,14.5,80.3,55.0,986.0,SCS,3.5,16.0,
MICHAUNG,2023-12-04 21:00:00+00:00,14.7,80.2,55.0,986.0,SCS,3.5,16.0,
MICHAUNG,2023-12-05 00:00:00+00:00,14.9,80.2,50.0,988.0,SCS,3.5,14.0,
MICHAUNG,2023-12-05 03:00:00+00:00,15.2,80.2,50.0,988.0,SCS,3.5,14.0,
MICHAUNG,2023-12-05 06:00:00+00:00,15.5,80.3,50.0,988.0,SCS,3.0,14.0,
MICHAUNG,2023-12-05 09:00:00+00:00,15.8,80.3,50.0,990.0,SCS,,12.0,
MICHAUNG,2023-12-05 12:00:00+00:00,16.0,80.3,40.0,996.0,CS,,8.0,
MICHAUNG,2023-12-05 15:00:00+00:00,16.4,80.4,35.0,998.0,CS,,7.0,
MICHAUNG,2023-12-05 18:00:00+00:00,16.8,80.4,30.0,1000.0,DD,,6.0,
MICHAUNG,2023-12-06 00:00:00+00:00,17.4,80.5,20.0,1004.0,D,,3.0,
