storm,timestamp,lat,lon,wind_kt,pressure_hpa,category,ci_no,pressure_drop_hpa,oci_diameter_deg
TAUKTAE,2021-05-14 03:00:00+00:00,10.5,72.3,25.0,997.0,D,1.5,3.0,
TAUKTAE,2021-05-14 06:00:00+00:00,11.0,72.5,25.0,996.0,D,1.5,4.0,
TAUKTAE,2021-05-14 09:00:00+00:00,11.5,72.5,30.0,995.0,D,2.0,5.0,
TAUKTAE,2021-05-14 12:00:00+00:00,11.6,72.6,30.0,995.0,DD,2.0,6.0,
TAUKTAE,2021-05-14 18:00:00+00:00,12.2,72.6,35.0,993.0,CS,2.5,7.0,
TAUKTAE,2021-05-14 21:00:00+00:00,12.2,72.6,40.0,992.0,CS,2.5,8.0,
TAUKTAE,2021-05-15 00:00:00+00:00,12.7,72.5,40.0,992.0,CS,2.5,8.0,
TAUKTAE,2021-05-15 03:00:00+00:00,12.8,72.5,40.0,992.0,CS,2.5,8.0,
TAUKTAE,2021-05-15 06:00:00+00:00,13.2,72.6,45.0,990.0,CS,3.0,10.0,
TAUKTAE,2021-05-15 09:00:00+00:00,13.5,72.7,45.0,990.0,CS,3.0,10.0,
TAUKTAE,2021-05-15 12:00:00+00:00,13.8,72.7,55.0,985.0,SCS,3.5,15.0,
TAUKTAE,2021-05-15 15:00:00+00:00,14.2,72.7,55.0,984.0,SCS,3.5,16.0,
TAUKTAE,2021-05-15 18:00:00+00:00,14.5,72.6,60.0,982.0,SCS,3.5,18.0,
TAUKTAE,2021-05-15 21:00:00+00:00,14.7,72.7,60.0,982.0,SCS,3.5,18.0,
TAUKTAE,2021-05-16 00:00:00+00:00,15.0,72.7,65.0,979.0,VSCS,4.0,21.0,
TAUKTAE,2021-05-16 03:00:00+00:00,15.3,72.7,70.0,976.0,VSCS,4.0,24.0,
TAUKTAE,2021-05-16 06:00:00+00:00,15.7,72.7,70.0,976.0,VSCS,4.0,24.0,
TAUKTAE,2021-05-16 09:00:00+00:00,16.2,72.6,70.0,976.0,VSCS,4.0,24.0,
TAUKTAE,2021-05-16 12:00:00+00:00,16.7,72.5,75.0,972.0,VSCS,4.5,28.0,
TAUKTAE,2021-05-16 15:00:00+00:00,17.2,72.3,80.0,968.0,VSCS,4.5,32.0,
TAUKTAE,2021-05-16 18:00:00+00:00,17.5,72.0,85.0,964.0,VSCS,4.5,36.0,
TAUKTAE,2021-05-16 21:00:00+00:00,18.0,71.7,90.0,960.0,ESCS,5.0,40.0,
TAUKTAE,2021-05-17 00:00:00+00:00,18.5,71.5,100.0,950.0,ESCS,5.5,50.0,
TAUKTAE,2021-05-17 03:00:00+00:00,18.8,71.5,100.0,950.0,ESCS,5.5,50.0,
TAUKTAE,2021-05-17 06:00:00+00:00,19.2,71.4,100.0,950.0,ESCS,5.5,50.0,
TAUKTAE,2021-05-17 09:00:00+00:00,19.6,71.4,100.0,950.0,ESCS,5.5,50.0,
TAUKTAE,2021-05-17 12:00:00+00:00,20.1,71.3,95.0,955.0,ESCS,5.0,45.0,
TAUKTAE,2021-05-17 15:00:00+00:00,20.5,71.2,90.0,960.0,ESCS,5.0,40.0,
TAUKTAE,2021-05-17 18:00:00+00:00,20.9,71.1,85.0,964.0,VSCS,,36.0,
TAUKTAE,2021-05-17 21:00:00+00:00,21.3,71.2,75.0,972.0,VSCS,,28.0,
TAUKTAE,2021-05-18 00:00:00+00:00,21.5,71.2,65.0,978.0,VSCS,,22.0,
TAUKTAE,2021-05-18 03:00:00+00:00,21.6,71.3,55.0,984.0,SCS,,16.0,
TAUKTAE,2021-05-18 06:00:00+00:00,22.0,71.5,45.0,990.0,CS,,10.0,
TAUKTAE,2021-05-18 09:00:00+00:00,22.5,71.8,40.0,992.0,CS,,8.0,
TAUKTAE,2021-05-18 12:00:00+00:00,23.1,72.3,35.0,993.0,CS,,7.0,
TAUKTAE,2021-05-18 15:00:00+00:00,23.6,72.6,30.0,994.0,DD,,6.0,
TAUKTAE,2021-05-18 18:00:00+00:00,24.1,73.0,30.0,995.0,DD,,5.0,
TAUKTAE,2021-05-19 00:00:00+00:00,24.5,73.3,25.0,996.0,D,,4.0,
TAUKTAE,2021-05-19 03:00:00+00:00,24.9,73.7,20.0,997.0,D,,3.0,
TAUKTAE,2021-05-19 06:00:00+00:00,25.8,74.8,20.0,997.0,D,,3.0,
