storm_id,storm_name,season,track_timestamp,satellite_timestamp,lat,lon,wind_kt,pressure_hpa,category,presence,dataset_id
2020136N10088,AMPHAN,2020,2020-05-15T06:00:00+00:00,2020-05-15T06:00:00+00:00,9.5,87.5,,,Unknown,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-15T09:00:00+00:00,2020-05-15T09:00:00+00:00,9.5,87.2,,,Unknown,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-15T12:00:00+00:00,2020-05-15T12:00:00+00:00,9.5,87.0,,,Unknown,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-15T15:00:00+00:00,2020-05-15T15:00:00+00:00,9.5,86.8,,,Unknown,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-15T18:00:00+00:00,2020-05-15T18:00:00+00:00,9.5,86.6,,,Unknown,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-15T21:00:00+00:00,2020-05-15T21:00:00+00:00,9.6,86.5,,,Unknown,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T00:00:00+00:00,2020-05-16T00:00:00+00:00,9.8,86.4,25.0,1000.0,Depression,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T03:00:00+00:00,2020-05-16T03:00:00+00:00,10.1,86.2,25.0,1000.0,Depression,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T06:00:00+00:00,2020-05-16T06:00:00+00:00,10.3,86.1,25.0,1000.0,Depression,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T09:00:00+00:00,2020-05-16T09:00:00+00:00,10.5,86.1,30.0,998.0,Deep Depression,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T12:00:00+00:00,2020-05-16T12:00:00+00:00,10.6,86.2,35.0,996.0,Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T15:00:00+00:00,2020-05-16T15:00:00+00:00,10.8,86.1,40.0,995.0,Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T18:00:00+00:00,2020-05-16T18:00:00+00:00,10.9,86.1,40.0,995.0,Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-16T21:00:00+00:00,2020-05-16T21:00:00+00:00,11.1,86.1,45.0,994.0,Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T00:00:00+00:00,2020-05-17T00:00:00+00:00,11.2,86.1,45.0,993.0,Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T03:00:00+00:00,2020-05-17T03:00:00+00:00,11.3,86.1,50.0,990.0,Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T06:00:00+00:00,2020-05-17T06:00:00+00:00,11.5,86.2,55.0,988.0,Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T09:00:00+00:00,2020-05-17T09:00:00+00:00,11.6,86.2,65.0,980.0,Very Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T12:00:00+00:00,2020-05-17T12:00:00+00:00,11.9,86.2,70.0,978.0,Very Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T15:00:00+00:00,2020-05-17T15:00:00+00:00,12.5,86.4,75.0,972.0,Very Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T18:00:00+00:00,2020-05-17T18:00:00+00:00,12.5,86.4,80.0,970.0,Very Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-17T21:00:00+00:00,2020-05-17T21:00:00+00:00,12.9,86.5,90.0,962.0,Very Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-18T00:00:00+00:00,2020-05-18T00:00:00+00:00,13.2,86.4,100.0,952.0,Extremely Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-18T03:00:00+00:00,2020-05-18T03:00:00+00:00,13.3,86.2,115.0,936.0,Extremely Severe Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-18T06:00:00+00:00,2020-05-18T06:00:00+00:00,13.4,86.2,120.0,930.0,Super Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-18T09:00:00+00:00,2020-05-18T09:00:00+00:00,13.7,86.2,120.0,930.0,Super Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-18T12:00:00+00:00,2020-05-18T12:00:00+00:00,14.1,86.4,125.0,926.0,Super Cyclonic Storm,1,3DIMG_L1C_SGP
2020136N10088,AMPHAN,2020,2020-05-18T15:00:00+00:00,2020-05-18T15:00:00+00:00,14.5,86.5,125.0,926.0,Super Cyclonic Storm,1,3DIMG_L1C_SGP
