cyclone,timestamp,lat,lon,ci,pressure_hpa,wind_kt,pressure_drop_hpa,grade
TAUKTAE,14/05/2021 03:00,10.5,72.3,1.5,997.0,25.0,3.0,D
TAUKTAE,14/05/2021 06:00,11.0,72.5,1.5,996.0,25.0,4.0,D
TAUKTAE,14/05/2021 09:00,11.5,72.5,2.0,995.0,30.0,5.0,D
TAUKTAE,14/05/2021 12:00,11.6,72.6,2.0,995.0,30.0,6.0,DD
TAUKTAE,14/05/2021 18:00,12.2,72.6,2.5,993.0,35.0,7.0,CS
TAUKTAE,14/05/2021 21:00,12.2,72.6,2.5,992.0,40.0,8.0,CS
TAUKTAE,15/05/2021 00:00,12.7,72.5,2.5,992.0,40.0,8.0,CS
TAUKTAE,15/05/2021 03:00,12.8,72.5,2.5,992.0,40.0,8.0,CS
TAUKTAE,15/05/2021 06:00,13.2,72.6,3.0,990.0,45.0,10.0,CS
TAUKTAE,15/05/2021 09:00,13.5,72.7,3.0,990.0,45.0,10.0,CS
TAUKTAE,15/05/2021 12:00,13.8,72.7,3.5,985.0,55.0,15.0,SCS
TAUKTAE,15/05/2021 15:00,14.2,72.7,3.5,984.0,55.0,16.0,SCS
TAUKTAE,15/05/2021 18:00,14.5,72.6,3.5,982.0,60.0,18.0,SCS
TAUKTAE,15/05/2021 21:00,14.7,72.7,3.5,982.0,60.0,18.0,SCS
TAUKTAE,16/05/2021 00:00,15.0,72.7,4.0,979.0,65.0,21.0,VSCS
TAUKTAE,16/05/2021 03:00,15.3,72.7,4.0,976.0,70.0,24.0,VSCS
TAUKTAE,16/05/2021 06:00,15.7,72.7,4.0,976.0,70.0,24.0,VSCS
TAUKTAE,16/05/2021 09:00,16.2,72.6,4.0,976.0,70.0,24.0,VSCS
TAUKTAE,16/05/2021 12:00,16.7,72.5,4.5,972.0,75.0,28.0,VSCS
TAUKTAE,16/05/2021 15:00,17.2,72.3,4.5,968.0,80.0,32.0,VSCS
TAUKTAE,16/05/2021 18:00,17.5,72.0,4.5,964.0,85.0,36.0,VSCS
TAUKTAE,16/05/2021 21:00,18.0,71.7,5.0,960.0,90.0,40.0,ESCS
TAUKTAE,17/05/2021 00:00,18.5,71.5,5.5,950.0,100.0,50.0,ESCS
TAUKTAE,17/05/2021 03:00,18.8,71.5,5.5,950.0,100.0,50.0,ESCS
TAUKTAE,17/05/2021 06:00,19.2,71.4,5.5,950.0,100.0,50.0,ESCS
TAUKTAE,17/05/2021 09:00,19.6,71.4,5.5,950.0,100.0,50.0,ESCS
TAUKTAE,17/05/2021 12:00,20.1,71.3,5.0,955.0,95.0,45.0,ESCS
TAUKTAE,17/05/2021 15:00,20.5,71.2,5.0,960.0,90.0,40.0,ESCS
TAUKTAE,17/05/2021 18:00,20.9,71.1,,964.0,85.0,36.0,VSCS
TAUKTAE,17/05/2021 21:00,21.3,71.2,,972.0,75.0,28.0,VSCS
TAUKTAE,18/05/2021 00:00,21.5,71.2,,978.0,65.0,22.0,VSCS
TAUKTAE,18/05/2021 03:00,21.6,71.3,,984.0,55.0,16.0,SCS
TAUKTAE,18/05/2021 06:00,22.0,71.5,,990.0,45.0,10.0,CS
TAUKTAE,18/05/2021 09:00,22.5,71.8,,992.0,40.0,8.0,CS
TAUKTAE,18/05/2021 12:00,23.1,72.3,,993.0,35.0,7.0,CS
TAUKTAE,18/05/2021 15:00,23.6,72.6,,994.0,30.0,6.0,DD
TAUKTAE,18/05/2021 18:00,24.1,73.0,,995.0,30.0,5.0,DD
TAUKTAE,19/05/2021 00:00,24.5,73.3,,996.0,25.0,4.0,D
TAUKTAE,19/05/2021 03:00,24.9,73.7,,997.0,20.0,3.0,D
TAUKTAE,19/05/2021 06:00,25.8,74.8,,997.0,20.0,3.0,D
