cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
TAUKTAE,2021-05-16T12:00:00+00:00,2021-05-16T12:29:00+00:00,0.48333333333333334,16.7,72.5,75.0,972.0,VSCS,904,742,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\16MAY\3DIMG_16MAY2021_1229_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-16T15:00:00+00:00,2021-05-16T14:59:00+00:00,0.016666666666666666,17.2,72.3,80.0,968.0,VSCS,890,737,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\16MAY\3DIMG_16MAY2021_1459_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-16T18:00:00+00:00,2021-05-16T18:59:00+00:00,0.9833333333333333,17.5,72.0,85.0,964.0,VSCS,882,729,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\16MAY\3DIMG_16MAY2021_1859_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-16T21:00:00+00:00,2021-05-16T20:59:00+00:00,0.016666666666666666,18.0,71.7,90.0,960.0,ESCS,868,721,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\16MAY\3DIMG_16MAY2021_2059_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-17T00:00:00+00:00,2021-05-16T23:29:00+00:00,0.5166666666666667,18.5,71.5,100.0,950.0,ESCS,854,716,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\16MAY\3DIMG_16MAY2021_2329_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-17T15:00:00+00:00,2021-05-17T14:59:00+00:00,0.016666666666666666,20.5,71.2,90.0,960.0,ESCS,798,708,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\17MAY\3DIMG_17MAY2021_1459_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-17T18:00:00+00:00,2021-05-17T18:00:00+00:00,0.0,20.9,71.1,85.0,964.0,VSCS,787,705,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\17MAY\3DIMG_17MAY2021_1800_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-17T21:00:00+00:00,2021-05-17T21:00:00+00:00,0.0,21.3,71.2,75.0,972.0,VSCS,776,708,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\17MAY\3DIMG_17MAY2021_2100_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-18T00:00:00+00:00,2021-05-17T23:30:00+00:00,0.5,21.5,71.2,65.0,978.0,VSCS,770,708,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\17MAY\3DIMG_17MAY2021_2330_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-18T15:00:00+00:00,2021-05-18T14:59:00+00:00,0.016666666666666666,23.6,72.6,30.0,994.0,DD,710,745,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\18MAY\3DIMG_18MAY2021_1459_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-18T18:00:00+00:00,2021-05-18T18:00:00+00:00,0.0,24.1,73.0,30.0,995.0,DD,696,755,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\18MAY\3DIMG_18MAY2021_1800_L1C_ASIA_MER_V01R00.h5
TAUKTAE,2021-05-19T00:00:00+00:00,2021-05-18T23:59:00+00:00,0.016666666666666666,24.5,73.3,25.0,996.0,D,684,763,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\18MAY\3DIMG_18MAY2021_2359_L1C_ASIA_MER_V01R00.h5
