cyclone,label_timestamp,insat_timestamp,time_diff_hours,latitude,longitude,wind_kt,pressure_hpa,category,pixel_row,pixel_col,file
YAAS,2021-05-24T15:00:00+00:00,2021-05-24T14:59:00+00:00,0.016666666666666666,17.4,89.2,45.0,986.0,Cyclonic Storm,885,1185,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\24MAY\3DIMG_24MAY2021_1459_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-24T18:00:00+00:00,2021-05-24T17:59:00+00:00,0.016666666666666666,17.6,89.0,50.0,984.0,Severe Cyclonic Storm,879,1180,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\24MAY\3DIMG_24MAY2021_1759_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-24T21:00:00+00:00,2021-05-24T20:59:00+00:00,0.016666666666666666,17.8,88.9,55.0,982.0,Severe Cyclonic Storm,874,1177,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\24MAY\3DIMG_24MAY2021_2059_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-25T00:00:00+00:00,2021-05-24T23:59:00+00:00,0.016666666666666666,18.0,88.6,55.0,980.0,Severe Cyclonic Storm,868,1169,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\24MAY\3DIMG_24MAY2021_2359_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-25T15:00:00+00:00,2021-05-25T15:00:00+00:00,0.0,19.8,87.9,65.0,976.0,Very Severe Cyclonic Storm,818,1150,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25MAY\3DIMG_25MAY2021_1500_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-25T18:00:00+00:00,2021-05-25T18:00:00+00:00,0.0,20.1,87.8,70.0,974.0,Very Severe Cyclonic Storm,810,1148,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25MAY\3DIMG_25MAY2021_1800_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-25T21:00:00+00:00,2021-05-25T21:00:00+00:00,0.0,20.4,87.6,75.0,970.0,Very Severe Cyclonic Storm,801,1143,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25MAY\3DIMG_25MAY2021_2100_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-26T00:00:00+00:00,2021-05-25T23:30:00+00:00,0.5,20.8,87.3,75.0,970.0,Very Severe Cyclonic Storm,790,1135,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\25MAY\3DIMG_25MAY2021_2330_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-26T15:00:00+00:00,2021-05-26T15:00:00+00:00,0.0,22.2,86.2,40.0,986.0,Cyclonic Storm,750,1105,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26MAY\3DIMG_26MAY2021_1500_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-26T18:00:00+00:00,2021-05-26T18:00:00+00:00,0.0,22.5,86.0,30.0,988.0,Deep Depression,742,1100,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26MAY\3DIMG_26MAY2021_1800_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-27T00:00:00+00:00,2021-05-26T23:30:00+00:00,0.5,22.8,85.8,30.0,988.0,Deep Depression,733,1095,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\26MAY\3DIMG_26MAY2021_2330_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-27T12:00:00+00:00,2021-05-27T13:00:00+00:00,1.0,24.3,85.3,25.0,992.0,Depression,690,1082,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\27MAY\3DIMG_27MAY2021_1300_L1C_ASIA_MER_V01R00.h5
YAAS,2021-05-27T18:00:00+00:00,2021-05-27T18:00:00+00:00,0.0,24.7,84.8,25.0,992.0,Depression,678,1068,C:\Users\techa\Documents\Tech4Aditya\SIH\cyclone-sih\backend\data\raw\insat\3DIMG_L1C_ASIA_MER\2021\27MAY\3DIMG_27MAY2021_1800_L1C_ASIA_MER_V01R00.h5
